query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	evidence_codes	intersection	enrichment
query_1	TRUE	0.0130751398283992	2	400	2	0.005	1	GO:0098693	GO:BP	regulation of synaptic vesicle cycle	12797	22086	IDA IMP,IDA IMP	FBgn0004179,FBgn0033876	31.9925
query_1	TRUE	0.0130751398283992	2	400	2	0.005	1	GO:0090160	GO:BP	Golgi to lysosome transport	12797	21235	IMP,IDA	FBgn0000346,FBgn0010105	31.9925
query_1	TRUE	0.000739600100210333	3	400	3	0.0075	1	GO:0036367	GO:BP	light adaption	12797	11077	TAS,IMP TAS,IMP IGI NAS	FBgn0000253,FBgn0002938,FBgn0004784	31.9925
query_1	TRUE	0.000739600100210333	3	400	3	0.0075	1	GO:0016062	GO:BP	adaptation of rhodopsin mediated signaling	12797	5682	TAS,IMP TAS,IMP IGI NAS	FBgn0000253,FBgn0002938,FBgn0004784	31.9925
query_1	TRUE	0.000362499033719225	6	400	4	0.01	0.666666666666667	GO:0023058	GO:BP	adaptation of signaling pathway	12797	7677	IMP IBA,TAS,IMP TAS,IMP IGI NAS	FBgn0000120,FBgn0000253,FBgn0002938,FBgn0004784	21.3283333333333
query_1	TRUE	0.0268159893327627	3	400	2	0.005	0.666666666666667	GO:0001692	GO:BP	histamine metabolic process	12797	505	IMP,IDA IMP	FBgn0000527,FBgn0086367	21.3283333333333
query_1	TRUE	0.0268159893327627	3	400	2	0.005	0.666666666666667	GO:1903801	GO:BP	L-leucine import across plasma membrane	12797	26805	IMP,IMP	FBgn0028425,FBgn0037533	21.3283333333333
query_1	TRUE	0.0268159893327627	3	400	2	0.005	0.666666666666667	GO:0098713	GO:BP	leucine import across plasma membrane	12797	22101	IMP,IMP	FBgn0028425,FBgn0037533	21.3283333333333
query_1	TRUE	0.0268159893327627	3	400	2	0.005	0.666666666666667	GO:0097753	GO:BP	membrane bending	12797	22011	IDA,IDA	FBgn0038659,FBgn0266599	21.3283333333333
query_1	TRUE	0.0268159893327627	3	400	2	0.005	0.666666666666667	GO:0110069	GO:BP	syncytial embryo cellularization	12797	22730	IEP,IMP	FBgn0003514,FBgn0014141	21.3283333333333
query_1	TRUE	0.0268159893327627	3	400	2	0.005	0.666666666666667	GO:0098815	GO:BP	modulation of excitatory postsynaptic potential	12797	22170	IMP,IBA	FBgn0026439,FBgn0040752	21.3283333333333
query_1	TRUE	0.0268159893327627	3	400	2	0.005	0.666666666666667	GO:0052803	GO:BP	imidazole-containing compound metabolic process	12797	16770	IMP,IDA IMP	FBgn0000527,FBgn0086367	21.3283333333333
query_1	TRUE	0.0268159893327627	3	400	2	0.005	0.666666666666667	GO:0015820	GO:BP	leucine transport	12797	5503	IMP,IMP	FBgn0028425,FBgn0037533	21.3283333333333
query_1	TRUE	5.2969325853403e-05	8	400	5	0.0125	0.625	GO:0009642	GO:BP	response to light intensity	12797	4023	TAS,IMP TAS,IMP,IMP IGI NAS,IMP	FBgn0000253,FBgn0002938,FBgn0002940,FBgn0004784,FBgn0033132	19.9953125
query_1	TRUE	0.00511664220560227	5	400	3	0.0075	0.6	GO:0032024	GO:BP	positive regulation of insulin secretion	12797	8519	IMP,IMP,IMP	FBgn0028425,FBgn0038984,FBgn0267002	19.1955
query_1	TRUE	0.00511664220560227	5	400	3	0.0075	0.6	GO:0015990	GO:BP	electron transport coupled proton transport	12797	5652	IBA,IBA,IBA	FBgn0013674,FBgn0013684,FBgn0030718	19.1955
query_1	TRUE	0.00511664220560227	5	400	3	0.0075	0.6	GO:0015988	GO:BP	energy coupled proton transmembrane transport, against electrochemical gradient	12797	5650	IBA,IBA,IBA	FBgn0013674,FBgn0013684,FBgn0030718	19.1955
query_1	TRUE	0.0438367566626185	4	400	2	0.005	0.5	GO:0003371	GO:BP	establishment or maintenance of cytoskeleton polarity involved in ameboidal cell migration	12797	1949	IMP,IMP	FBgn0001105,FBgn0004921	15.99625
query_1	TRUE	0.0438367566626185	4	400	2	0.005	0.5	GO:0003379	GO:BP	establishment of cell polarity involved in gastrulation cell migration	12797	1957	IMP,IMP	FBgn0001105,FBgn0004921	15.99625
query_1	TRUE	0.0438367566626185	4	400	2	0.005	0.5	GO:0003380	GO:BP	establishment or maintenance of cytoskeleton polarity involved in gastrulation	12797	1958	IMP,IMP	FBgn0001105,FBgn0004921	15.99625
query_1	TRUE	0.0438367566626185	4	400	2	0.005	0.5	GO:0003365	GO:BP	establishment of cell polarity involved in ameboidal cell migration	12797	1943	IMP,IMP	FBgn0001105,FBgn0004921	15.99625
query_1	TRUE	0.0438367566626185	4	400	2	0.005	0.5	GO:0016060	GO:BP	metarhodopsin inactivation	12797	5680	IGI NAS,IGI	FBgn0000120,FBgn0000253	15.99625
